rotten_tomatoes_link,movie_title,genres,directors,original_release_date,runtime,tomatometer_rating,long_review,long_reviews_count,year,genres_list,length_category
m/unfinished_life,An Unfinished Life,Drama,Lasse Hallstrom,2005-09-09,107.0,52.0,True,88,2005.0,['Drama'],Short
m/unfinished_song,Unfinished Song,"Comedy, Drama, Musical & Performing Arts",Paul Andrew Williams,2013-06-21,93.0,65.0,True,68,2013.0,"['Comedy', ' Drama', ' Musical & Performing Arts']",Short
m/unfit_the_psychology_of_donald_trump,#Unfit: The Psychology of Donald Trump,Documentary,Dan Partland,2020-08-28,83.0,85.0,False,21,2020.0,['Documentary'],Short
m/unforgettable,Unforgettable,"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy",John Dahl,1996-02-23,116.0,21.0,True,6,1996.0,"['Action & Adventure', ' Drama', ' Mystery & Suspense', ' Science Fiction & Fantasy']",Short
m/unforgettable_2017,Unforgettable,"Drama, Mystery & Suspense",Denise Di Novi,2017-04-21,100.0,28.0,True,88,2017.0,"['Drama', ' Mystery & Suspense']",Short
m/unforgivable_2012,Unforgivable,"Drama, Mystery & Suspense",André Téchiné,2012-06-29,112.0,77.0,False,24,2012.0,"['Drama', ' Mystery & Suspense']",Short
m/unfriended,Unfriended,"Horror, Mystery & Suspense",,2015-04-17,83.0,62.0,True,134,2015.0,"['Horror', ' Mystery & Suspense']",Short
m/unfriended_dark_web,Unfriended: Dark Web,Horror,Stephen Susco,2018-07-20,88.0,59.0,True,100,2018.0,['Horror'],Short
m/unhook_the_stars,Unhook the Stars,"Art House & International, Comedy, Drama",Nick Cassavetes,1996-11-01,103.0,81.0,True,7,1996.0,"['Art House & International', ' Comedy', ' Drama']",Short
m/unicorn_store,Unicorn Store,Comedy,Brie Larson,2019-04-05,,64.0,True,64,2019.0,['Comedy'],Short
m/uninvited_2009,The Uninvited,"Drama, Horror, Mystery & Suspense","The Guard Brothers, Thomas Guard, Charles Guard",2009-01-30,87.0,32.0,True,81,2009.0,"['Drama', ' Horror', ' Mystery & Suspense']",Short
m/union_2019,Union,"Action & Adventure, Drama, Romance",Whitney Hamilton,2019-08-02,135.0,64.0,True,7,2019.0,"['Action & Adventure', ' Drama', ' Romance']",Long
m/union_square_2012,Union Square,Drama,Nancy Savoca,2012-07-13,80.0,66.0,False,23,2012.0,['Drama'],Short
m/united_93,United 93,"Action & Adventure, Drama",Paul Greengrass,2006-04-28,111.0,90.0,True,116,2006.0,"['Action & Adventure', ' Drama']",Short
m/united_passions,United Passions,Drama,Frédéric Auburtin,2015-06-05,110.0,0.0,False,8,2015.0,['Drama'],Short
m/united_red_army,United Red Army,"Art House & International, Drama",Koji Wakamatsu,2011-05-27,190.0,93.0,False,9,2011.0,"['Art House & International', ' Drama']",Long
m/united_states_of_leland,The United States of Leland,"Drama, Mystery & Suspense",Matthew Ryan Hoge,2004-04-02,108.0,34.0,True,53,2004.0,"['Drama', ' Mystery & Suspense']",Short
m/universal_soldier,Universal Soldier,"Action & Adventure, Science Fiction & Fantasy",Roland Emmerich,1992-07-10,104.0,33.0,False,18,1992.0,"['Action & Adventure', ' Science Fiction & Fantasy']",Short
m/universal_soldier_day_of_reckoning,Universal Soldier: Day of Reckoning,Action & Adventure,John Hyams,2012-11-30,113.0,57.0,False,32,2012.0,['Action & Adventure'],Short
m/universal_soldier_the_return,Universal Soldier: The Return,"Action & Adventure, Science Fiction & Fantasy","Mic Rodgers, Mic Rogers",1999-12-01,82.0,5.0,False,24,1999.0,"['Action & Adventure', ' Science Fiction & Fantasy']",Short
m/unknown_2011,Unknown,"Drama, Horror, Mystery & Suspense",Jaume Collet-Serra,2011-02-18,113.0,54.0,True,140,2011.0,"['Drama', ' Horror', ' Mystery & Suspense']",Short
m/unlawful_entry,Unlawful Entry,"Action & Adventure, Drama, Mystery & Suspense",Jonathan Kaplan,1992-06-26,111.0,74.0,False,13,1992.0,"['Action & Adventure', ' Drama', ' Mystery & Suspense']",Short
m/unleashed_2017,Unleashed,"Comedy, Romance",Finn Taylor,2017-08-25,96.0,75.0,True,5,2017.0,"['Comedy', ' Romance']",Short
m/unlocked_2017,Unlocked,"Action & Adventure, Mystery & Suspense",Michael Apted,2017-09-01,98.0,26.0,False,42,2017.0,"['Action & Adventure', ' Mystery & Suspense']",Short
m/unlovable,Unlovable,"Comedy, Drama",Suzi Yoonessi,2018-11-02,80.0,81.0,True,15,2018.0,"['Comedy', ' Drama']",Short
m/unloved,The Unloved,"Art House & International, Drama",Samantha Morton,2009-05-06,106.0,94.0,True,13,2009.0,"['Art House & International', ' Drama']",Short
m/unmistaken_child,Unmistaken Child,"Art House & International, Documentary, Faith & Spirituality",Nati Baratz,2009-06-03,104.0,81.0,True,26,2009.0,"['Art House & International', ' Documentary', ' Faith & Spirituality']",Short
m/unplanned,Unplanned,Drama,"Chuck Konzelman, Cary Solomon",2019-03-29,106.0,42.0,True,19,2019.0,['Drama'],Short
m/unreasonable_man,An Unreasonable Man,"Documentary, Special Interest","Henriette Mantel, Stephen Skrovan",2007-01-31,158.0,92.0,True,49,2007.0,"['Documentary', ' Special Interest']",Long
m/unsane,Unsane,"Drama, Mystery & Suspense",Steven Soderbergh,2018-03-23,98.0,80.0,True,183,2018.0,"['Drama', ' Mystery & Suspense']",Short
m/unsinkable_molly_brown,The Unsinkable Molly Brown,"Classics, Musical & Performing Arts",Charles Walters,1964-07-11,128.0,78.0,False,2,1964.0,"['Classics', ' Musical & Performing Arts']",Long
m/unstoppable-2010,Unstoppable,"Action & Adventure, Drama, Mystery & Suspense",Tony Scott,2010-11-12,94.0,87.0,True,124,2010.0,"['Action & Adventure', ' Drama', ' Mystery & Suspense']",Short
m/unstrung_heroes,Unstrung Heroes,"Comedy, Drama",Diane Keaton,1995-09-15,94.0,74.0,False,2,1995.0,"['Comedy', ' Drama']",Short
m/untamed_heart,Untamed Heart,"Drama, Romance",Tony Bill,1993-01-01,102.0,54.0,False,1,1993.0,"['Drama', ' Romance']",Short
m/until_the_light_takes_us,Until the Light Takes Us,"Documentary, Musical & Performing Arts, Special Interest","Aaron Aites, Audrey Ewell",2009-12-11,93.0,46.0,True,19,2009.0,"['Documentary', ' Musical & Performing Arts', ' Special Interest']",Short
m/untitled_eliot_spitzer_project,Client 9: The Rise and Fall of Eliot Spitzer,"Documentary, Special Interest",Alex Gibney,2010-11-05,117.0,90.0,True,53,2010.0,"['Documentary', ' Special Interest']",Short
m/untouchables,The Untouchables,"Action & Adventure, Drama",Brian DePalma,1987-06-02,119.0,82.0,False,32,1987.0,"['Action & Adventure', ' Drama']",Short
m/unzipped,Unzipped,"Documentary, Special Interest",Douglas Keeve,1995-08-11,76.0,80.0,False,5,1995.0,"['Documentary', ' Special Interest']",Short
m/up,Up,"Action & Adventure, Animation, Comedy, Kids & Family","Linn Patrick, Pete Docter, Bob Peterson, Peter Docter",2009-05-29,89.0,98.0,True,200,2009.0,"['Action & Adventure', ' Animation', ' Comedy', ' Kids & Family']",Short
m/up_and_down,Up and Down (Horem Pádem) (Loop the Loop),"Art House & International, Comedy, Drama",Jan Hrebejk,2004-09-16,108.0,83.0,False,36,2004.0,"['Art House & International', ' Comedy', ' Drama']",Short
m/up_close_and_personal,Up Close & Personal,"Drama, Romance",Jon Avnet,1996-03-01,124.0,31.0,False,6,1996.0,"['Drama', ' Romance']",Long
m/up_for_grabs,Up for Grabs,"Comedy, Documentary, Special Interest, Sports & Fitness",Michael Wranovics,2005-04-15,90.0,92.0,True,27,2005.0,"['Comedy', ' Documentary', ' Special Interest', ' Sports & Fitness']",Short
m/up_in_smoke_1978,Up in Smoke,"Action & Adventure, Comedy","Lou Adler, Tommy Chong",1978-09-15,86.0,47.0,False,7,1978.0,"['Action & Adventure', ' Comedy']",Short
m/up_in_the_air_2009,Up in the Air,"Comedy, Drama, Romance",Jason Reitman,2009-12-04,109.0,91.0,False,209,2009.0,"['Comedy', ' Drama', ' Romance']",Short
m/up_the_academy,Up the Academy,Comedy,Robert Downey Sr.,1980-06-06,89.0,0.0,True,3,1980.0,['Comedy'],Short
m/up_the_down_staircase,Up the Down Staircase,"Classics, Drama",Robert Mulligan,1967-07-19,124.0,80.0,False,1,1967.0,"['Classics', ' Drama']",Long
m/up_the_sandbox,Up the Sandbox,"Classics, Comedy, Drama, Science Fiction & Fantasy",Irvin Kershner,1972-01-01,97.0,60.0,True,2,1972.0,"['Classics', ' Comedy', ' Drama', ' Science Fiction & Fantasy']",Short
m/up_the_yangtze,Up the Yangtze,"Documentary, Special Interest",Yung Chang,2007-09-30,93.0,96.0,False,35,2007.0,"['Documentary', ' Special Interest']",Short
m/upgrade_2018,Upgrade,"Action & Adventure, Horror, Science Fiction & Fantasy",Leigh Whannell,2018-06-01,95.0,88.0,False,145,2018.0,"['Action & Adventure', ' Horror', ' Science Fiction & Fantasy']",Short
m/upside_down_2012,Upside Down,"Drama, Science Fiction & Fantasy, Romance",Juan Diego Solanas,2013-03-15,107.0,28.0,True,41,2013.0,"['Drama', ' Science Fiction & Fantasy', ' Romance']",Short
m/upside_of_anger,The Upside of Anger,"Comedy, Drama, Romance",Mike Binder,2005-03-11,121.0,75.0,False,103,2005.0,"['Comedy', ' Drama', ' Romance']",Long
m/upstream_color,Upstream Color,"Drama, Mystery & Suspense, Romance",Shane Carruth,2013-04-05,96.0,86.0,False,105,2013.0,"['Drama', ' Mystery & Suspense', ' Romance']",Short
m/uptown_girls,Uptown Girls,Comedy,Boaz Yakin,2003-08-15,93.0,14.0,False,53,2003.0,['Comedy'],Short
m/uptown_saturday_night,Uptown Saturday Night,"Classics, Comedy",Sidney Poitier,1974-06-16,104.0,67.0,False,2,1974.0,"['Classics', ' Comedy']",Short
m/urban_cowboy,Urban Cowboy,"Drama, Western",James Bridges,1980-06-06,135.0,73.0,False,9,1980.0,"['Drama', ' Western']",Long
m/urban_hymn,Urban Hymn,"Art House & International, Drama, Musical & Performing Arts",Michael Caton-Jones,2017-05-12,114.0,58.0,True,17,2017.0,"['Art House & International', ' Drama', ' Musical & Performing Arts']",Short
m/urban_legend,Urban Legend,"Horror, Mystery & Suspense",Jamie Blanks,1998-09-25,95.0,21.0,False,13,1998.0,"['Horror', ' Mystery & Suspense']",Short
m/urban_legends_bloody_mary,Urban Legends: Bloody Mary,Horror,Mary Lambert,2005-07-19,93.0,40.0,False,2,2005.0,['Horror'],Short
m/urban_legends_final_cut,Urban Legends: Final Cut,Horror,John Ottman,2000-09-22,98.0,9.0,True,34,2000.0,['Horror'],Short
m/urbanized_2011,Urbanized,"Documentary, Musical & Performing Arts, Special Interest",Gary Hustwit,2011-10-28,82.0,100.0,True,10,2011.0,"['Documentary', ' Musical & Performing Arts', ' Special Interest']",Short
m/urge,Urge,Mystery & Suspense,Aaron Kaufman,2016-06-03,89.0,0.0,False,3,2016.0,['Mystery & Suspense'],Short
m/urok_2015,Urok (The Lesson),"Art House & International, Drama","Kristina Grozeva, Petar Valchanov",2015-03-04,107.0,83.0,True,15,2015.0,"['Art House & International', ' Drama']",Short
m/us_2019,Us,"Horror, Mystery & Suspense",Jordan Peele,2019-03-22,116.0,93.0,True,417,2019.0,"['Horror', ' Mystery & Suspense']",Short
m/us_and_them,Us and Them,"Art House & International, Horror, Mystery & Suspense",Joseph Martin,2018-03-16,83.0,60.0,True,15,2018.0,"['Art House & International', ' Horror', ' Mystery & Suspense']",Short
m/us_marshals,U.S. Marshals,Action & Adventure,Stuart Baird,1997-06-01,133.0,25.0,False,8,1997.0,['Action & Adventure'],Long
m/us_vs_john_lennon,The U.S. vs. John Lennon,"Documentary, Musical & Performing Arts","David Leaf, John Scheinfeld",2006-09-29,99.0,77.0,True,73,2006.0,"['Documentary', ' Musical & Performing Arts']",Short
m/used_cars,Used Cars,Comedy,Robert Zemeckis,1980-07-18,113.0,77.0,False,13,1980.0,['Comedy'],Short
m/used_people,Used People,"Comedy, Romance",Beeban Kidron,1992-06-01,115.0,44.0,False,4,1992.0,"['Comedy', ' Romance']",Short
m/useless_humans,Useless Humans,"Action & Adventure, Comedy, Science Fiction & Fantasy",Stephen Ohl,2020-07-14,77.0,40.0,True,7,2020.0,"['Action & Adventure', ' Comedy', ' Science Fiction & Fantasy']",Short
m/ushpizin,Ushpizin,"Art House & International, Comedy, Drama",Gidi Dar,2005-10-19,91.0,94.0,False,38,2005.0,"['Art House & International', ' Comedy', ' Drama']",Short
m/uss_indianapolis_men_of_courage,USS Indianapolis: Men of Courage,"Action & Adventure, Drama",Mario Van Peebles,2016-11-11,135.0,17.0,True,8,2016.0,"['Action & Adventure', ' Drama']",Long
m/usual_suspects,The Usual Suspects,"Drama, Mystery & Suspense",Bryan Singer,1995-08-16,105.0,89.0,True,54,1995.0,"['Drama', ' Mystery & Suspense']",Short
m/v_for_vendetta,V for Vendetta,"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy",James McTeigue,2006-03-17,132.0,73.0,False,165,2006.0,"['Action & Adventure', ' Drama', ' Mystery & Suspense', ' Science Fiction & Fantasy']",Long
m/v_tumane_2012,In the Fog,"Art House & International, Drama",Sergey Loznitsa,2013-06-14,127.0,87.0,True,26,2013.0,"['Art House & International', ' Drama']",Long
m/va_savoir,Va Savoir,"Art House & International, Comedy, Drama, Romance",Jacques Rivette,2001-09-29,154.0,86.0,False,34,2001.0,"['Art House & International', ' Comedy', ' Drama', ' Romance']",Long
